frame_id,timestamp,track_id,class,x1,y1,x2,y2,confidence
18,2026-06-06 14:33:50,1,person,859.65,637.35,951.35,719.43,0.8655
19,2026-06-06 14:33:50,1,person,862.50,624.63,952.34,719.61,0.8525
20,2026-06-06 14:33:51,1,person,866.77,611.16,952.88,719.31,0.8712
21,2026-06-06 14:33:51,1,person,870.27,596.21,955.51,719.72,0.8575
22,2026-06-06 14:33:51,1,person,873.05,581.53,958.58,719.90,0.8746
23,2026-06-06 14:33:51,1,person,873.05,567.39,960.69,719.97,0.8839
24,2026-06-06 14:33:51,1,person,873.02,553.94,963.89,720.00,0.8845
25,2026-06-06 14:33:51,1,person,869.97,541.99,965.77,720.01,0.8987
26,2026-06-06 14:33:52,1,person,867.78,530.52,967.00,719.90,0.8952
27,2026-06-06 14:33:52,1,person,870.12,518.08,967.96,710.17,0.8827
28,2026-06-06 14:33:52,1,person,876.50,505.47,967.45,685.87,0.8819
29,2026-06-06 14:33:52,1,person,884.76,493.10,968.70,661.38,0.8813
30,2026-06-06 14:33:52,1,person,891.11,481.82,970.48,652.29,0.8857
31,2026-06-06 14:33:52,1,person,893.88,473.20,972.31,648.64,0.8568
32,2026-06-06 14:33:52,1,person,894.66,463.97,975.34,643.50,0.8180
33,2026-06-06 14:33:53,1,person,895.50,453.95,979.08,630.97,0.8894
34,2026-06-06 14:33:53,1,person,901.28,443.19,983.08,606.83,0.8721
35,2026-06-06 14:33:53,1,person,908.05,433.59,986.68,594.36,0.8756
36,2026-06-06 14:33:53,1,person,908.68,424.92,990.81,591.02,0.8930
37,2026-06-06 14:33:53,1,person,907.72,417.26,992.91,588.77,0.9023
38,2026-06-06 14:33:53,1,person,908.76,408.81,994.54,583.78,0.8842
39,2026-06-06 14:33:54,1,person,916.29,399.88,998.35,566.31,0.8382
40,2026-06-06 14:33:54,1,person,925.56,391.45,1003.18,548.89,0.8742
41,2026-06-06 14:33:54,1,person,929.97,383.16,1007.79,535.09,0.8828
42,2026-06-06 14:33:54,1,person,931.55,376.01,1012.63,532.11,0.8688
43,2026-06-06 14:33:54,1,person,931.63,370.94,1018.62,529.69,0.8761
44,2026-06-06 14:33:55,1,person,935.33,364.12,1024.36,524.17,0.8620
45,2026-06-06 14:33:55,1,person,943.90,357.41,1031.80,508.47,0.8340
46,2026-06-06 14:33:55,1,person,958.15,349.04,1039.60,496.14,0.8768
47,2026-06-06 14:33:55,1,person,971.99,342.32,1048.46,492.73,0.8770
48,2026-06-06 14:33:55,1,person,976.33,337.23,1056.53,491.62,0.8852
49,2026-06-06 14:33:55,1,person,978.51,331.77,1065.30,491.45,0.8917
50,2026-06-06 14:33:56,1,person,984.60,326.45,1071.52,489.52,0.8947
51,2026-06-06 14:33:56,1,person,997.19,318.95,1074.84,476.66,0.8637
52,2026-06-06 14:33:56,1,person,1010.16,311.62,1083.34,464.43,0.8579
53,2026-06-06 14:33:56,1,person,1013.82,304.93,1090.12,452.13,0.8849
54,2026-06-06 14:33:56,1,person,1014.62,299.82,1095.94,449.72,0.8855
55,2026-06-06 14:33:56,1,person,1015.34,296.08,1102.94,448.07,0.8944
56,2026-06-06 14:33:57,1,person,1019.21,292.22,1111.49,445.44,0.8575
57,2026-06-06 14:33:57,1,person,1030.67,286.30,1119.64,433.06,0.8604
58,2026-06-06 14:33:57,1,person,1048.10,278.36,1128.94,425.39,0.8747
59,2026-06-06 14:33:57,1,person,1063.40,274.06,1138.52,422.74,0.8901
60,2026-06-06 14:33:57,1,person,1068.65,270.72,1148.35,421.93,0.8896
61,2026-06-06 14:33:57,1,person,1071.12,268.02,1156.22,421.48,0.8854
62,2026-06-06 14:33:58,1,person,1076.35,264.22,1161.88,420.16,0.8863
63,2026-06-06 14:33:58,1,person,1091.59,258.41,1165.91,409.67,0.8704
64,2026-06-06 14:33:58,1,person,1104.52,252.50,1172.62,400.67,0.8777
65,2026-06-06 14:33:58,1,person,1108.05,247.70,1180.14,390.82,0.8740
66,2026-06-06 14:33:58,1,person,1107.97,243.27,1187.14,388.93,0.8613
67,2026-06-06 14:33:59,1,person,1108.88,238.95,1194.25,387.02,0.8839
68,2026-06-06 14:33:59,1,person,1114.64,235.86,1202.29,383.25,0.8964
